16S,SFC.Spr.C.10m,SFD.Spr.C.10m,SFS.Spr.C.10m,STC.Spr.C.10m,L.Sum.O.10m,L.Win.O.10m,L.Spr.C.10m,L.Spr.I.10m,L.Spr.O.10m,GD.Spr.C.8m,GF.Spr.C.9m,M.Fall.C.10m,M.Fall.I.10m,M.Fall.I.42m,M.Fall.O.10m,M.Fall.O.105m,L.Sum.O.500m,L.Sum.O.1000m,L.Sum.O.2000m,L.Win.O.500m,L.Win.O.1000m,L.Win.O.2000m,L.Spr.C.500m,L.Spr.C.1000m,L.Spr.C.1300m,L.Spr.I.500m,L.Spr.I.1000m,L.Spr.I.2000m,L.Spr.O.1000m,L.Spr.O.2000m,M.Fall.O.1000m,M.Fall.O.4300m
Burkholderiales,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Methylophilales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
unclassified_Betaproteobacteria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myxococcales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
unclassified_Deltaproteobacteria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alteromonadales,1,1,1,1,1,1,1,1,50,20,50,1,1,1,1,1,1,1,20,1,1,1,1,100,1,50,1,1,1,1,1,1
Gammaproteobacteria_incertae_sedis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oceanospirillales,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pseudomonadales,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,10,1,1
Thiotrichales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,1,1,1,1,1,1
Vibrionales,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xanthomonadales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
unclassified_Gammaproteobacteria,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,10,1,1,1,1,1,20,1,10,1,1,1,1,1,1
unclassified,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,10,1,1,1,1,1,1
Spirochaetales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puniceicoccales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Verrucomicrobiales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
unclassified,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1
